input_text,aspect,polarity,extracted_nouns
perfect quiet relaxing delicious accompaniment afternoon theater,food,positive,"['theater', 'afternoon', 'accompaniment']"
never eaten 40 pieces relatively good nigiri,anecdotesmiscellaneous,neutral,"['pieces', 'nigiri']"
lovely frenchasian fusion restaurant stands amongst great restaurants smith street,anecdotesmiscellaneous,positive,"['restaurants', 'fusion', 'restaurant']"
everyone happy choices,service,positive,['choices']
good fast service,service,positive,['service']
might little spicy friend couteract eat rice keeping water hand,food,neutral,"['couteract', 'friend', 'hand', 'rice', 'water']"
would recommend roxys food,anecdotesmiscellaneous,positive,['food']
wine beer served house varities actually quite good,food,positive,"['varities', 'wine', 'beer', 'house']"
didnt complain liked atmosphere much,ambience,positive,['atmosphere']
food inludes famous scrumptious bombay style chaat bhelpuri sevpuri samosa chaats well great indian appetizers,food,positive,"['appetizers', 'food', 'inludes']"
service friendly prompt world food great prices cheap wont put wallet commission,price,conflict,"['food', 'commission', 'wallet', 'world', 'prices', 'service']"
waiter fine place looks nice nottryingtoohard way prices little expected food,food,negative,"['food', 'way', 'waiter', 'prices', 'place']"
although tables may closely situated candlelight foodquality service overcompensate,food,positive,"['overcompensate', 'candlelight', 'tables', 'foodquality', 'service']"
fabulous service fantastic food chilled atmosphere environment,food,positive,"['environment', 'food', 'atmosphere', 'service']"
top spot town vietnamese classics better places cost lot,price,positive,"['classics', 'town', 'spot', 'lot', 'places']"
definetly going back,anecdotesmiscellaneous,positive,[]
okayi dont mind oily part cause cooked way way bland,food,negative,"['way', 'part']"
speak park side words describe,anecdotesmiscellaneous,neutral,"['side', 'words', 'park']"
girlfriend stumbled onto hopping place night great time,anecdotesmiscellaneous,positive,"['hopping', 'time', 'girlfriend', 'night', 'place']"
gf still choose eat lot diverse cocktails chill decor decent sushi,ambience,positive,"['chill', 'sushi', 'lot', 'cocktails', 'decor']"
food well prepared service impecable,service,positive,"['food', 'service', 'impecable']"
really disappointed ant wanted tell everyone go eat even take food,anecdotesmiscellaneous,negative,"['food', 'ant']"
stay far away place,anecdotesmiscellaneous,negative,['place']
place wasnt hard find kind packed soon boyfriend got food line reached door,ambience,conflict,"['food', 'door', 'boyfriend', 'place', 'line']"
dont walk around trays dim sum,ambience,positive,"['sum', 'trays']"
good breads well,food,positive,['breads']
service excellent decor great food delicious comes large portions,food,positive,"['food', 'portions', 'service', 'decor']"
service attentive yet unimposing food far better many notorious restaurants midtown wine list extensive well priced,price,positive,"['food', 'restaurants', 'list', 'wine', 'service']"
grat time jekyll hyde,anecdotesmiscellaneous,positive,[]
japanese native ive lived tristate area 8 years amazed place,anecdotesmiscellaneous,positive,"['native', 'years', 'place', 'area']"
conclusion culinary nightmare check given table knocking glass water,service,negative,"['check', 'conclusion', 'table', 'water', 'nightmare', 'glass']"
tanks chinatown restaurants display lurking myriad sadlooking marine life murky waters tanks pings clear glass healthylooking creatures yet know part dim sum lovers brunch,ambience,positive,"['restaurants', 'lovers', 'chinatown', 'part', 'creatures', 'display', 'waters', 'life', 'tanks', 'sum', 'glass']"
paying atmosphere nice numerous places bay ridge,ambience,conflict,"['atmosphere', 'places']"
went restaurant woman met recently,anecdotesmiscellaneous,neutral,"['woman', 'restaurant']"
buon appetito,anecdotesmiscellaneous,positive,[]
recommend place everyone asks go good meal,anecdotesmiscellaneous,positive,"['place', 'meal']"
ive sapphire twice times food fine good,food,positive,"['food', 'sapphire', 'times']"
also dont want sit certain table dont,anecdotesmiscellaneous,neutral,['table']
think stuff better disney,service,positive,"['disney', 'stuff']"
food good great worth wait another visit,food,conflict,"['food', 'worth', 'visit']"
server helpful friendly,service,positive,['server']
would ask oil next time,anecdotesmiscellaneous,neutral,"['time', 'oil']"
warm comfortable surroundings nice appointments witness etched glass brickwork separating dining rooms,ambience,positive,"['rooms', 'appointments', 'surroundings', 'witness', 'dining', 'brickwork', 'glass']"
visited vacation reading reviews,anecdotesmiscellaneous,neutral,"['reading', 'vacation', 'reviews']"
get 7pm,anecdotesmiscellaneous,neutral,['pm']
server really cool served us food drinks smile,service,positive,"['food', 'server', 'drinks']"
everything excellent menu quite extensive eat view sides city,ambience,positive,"['eat', 'menu', 'sides', 'view', 'city']"
pizza delivered cold cheese wasnt even fully melted,food,negative,"['cheese', 'pizza']"
david daytona beach fl,anecdotesmiscellaneous,neutral,[]
oh yes fan indian oldies film stars plenty portraits indian actors actresses classic black white adorn walls would love know obtained,ambience,positive,"['walls', 'actresses', 'oldies', 'actors', 'film', 'portraits']"
tastes makes mouth water,food,positive,"['mouth', 'tastes', 'water']"
crawfish boiled despite making mess ton fun quite tasty well,food,positive,"['ton', 'fun', 'mess']"
oh dont even let start expensive bills,price,negative,['bills']
molto bene,anecdotesmiscellaneous,positive,['bene']
dont fooled crowds people,anecdotesmiscellaneous,negative,"['crowds', 'people']"
made dining experience uncomfortable,anecdotesmiscellaneous,negative,"['experience', 'dining']"
besides table promised given restaurant patrons twice actually seated served dishes hadnt ordered three times received one orders 20 minutes rest table served order undercooked charged 45 bill,price,negative,"['orders', 'order', 'bill', 'minutes', 'patrons', 'dishes', 'table', 'times', 'rest', 'restaurant']"
one definintely least favorite,anecdotesmiscellaneous,negative,[]
food average service pathetic ambience,ambience,negative,"['ambience', 'food', 'service']"
highly recommend great value excellent sushi service,service,positive,"['service', 'value', 'sushi']"
started bombay beer big enough two,food,positive,['beer']
go empty stomach leave feeling like baby veal calfok bad joke see,anecdotesmiscellaneous,positive,"['baby', 'veal', 'stomach', 'joke']"
popular style izakaya sake small portion sakefriendly dishes,food,positive,"['portion', 'sake', 'style']"
nice quiet location go eat good meal relax able talk good time,ambience,positive,"['location', 'time', 'meal']"
great value quality ingredients,price,positive,"['ingredients', 'value', 'quality']"
servers attentive friendly quite attractive,service,positive,['servers']
food outstanding service quick friendly professional,food,positive,"['food', 'professional', 'service']"
big thumbs,anecdotesmiscellaneous,positive,['thumbs']
frist time cafe st barts must say delicous food service,service,positive,"['food', 'service']"
food good would consider world,food,positive,"['world', 'food']"
go wrong red eye grill,anecdotesmiscellaneous,positive,"['grill', 'eye']"
conveniently delivered right door,service,positive,['door']
disappointing food lousy service,food,negative,"['food', 'service']"
overall restaurant expensive sushi favorites everything delicious,food,positive,"['sushi', 'restaurant']"
service good excellent along attitude,service,positive,"['service', 'attitude']"
food ok fish cooked well,food,positive,"['food', 'fish']"
also 15,price,negative,[]
love pizza 33,anecdotesmiscellaneous,positive,['pizza']
staff attentive ambience lovely food superb,service,positive,"['ambience', 'food', 'superb', 'staff']"
disappointment coat check girls didnt seem know customer realtively nonbusy night coat check girls,service,negative,"['check', 'coat', 'customer', 'girls', 'disappointment', 'night']"
dim sum soso,food,neutral,"['soso', 'sum']"
heartland brewery great way start finish day,anecdotesmiscellaneous,positive,"['way', 'day', 'heartland', 'brewery', 'finish']"
someone appreciates things hope food spare share kai may best option,food,neutral,"['things', 'food', 'share', 'option']"
frequented ino several years food remains excellent,food,positive,"['years', 'food']"
wed go back,anecdotesmiscellaneous,positive,[]
party private room made truly memorable helpful planning,service,positive,"['planning', 'room']"
sure keep coming back feel really restaurant deserves,anecdotesmiscellaneous,positive,['restaurant']
service great takeout good,service,positive,['takeout']
owner friendly great guy go try pizza youll like,food,positive,"['guy', 'pizza']"
everything always cooked perfection service excellent decor cool understated,food,positive,"['perfection', 'service', 'decor']"
youve ever along river weehawken idea top view chart house offer,ambience,positive,"['view', 'house']"
ive ordered 2nd ave,anecdotesmiscellaneous,neutral,[]
restaurant great place,anecdotesmiscellaneous,positive,['place']
dont live ny best friend,anecdotesmiscellaneous,neutral,['friend']
thats mean feat,anecdotesmiscellaneous,neutral,['feat']
pick bagel best bagels city,food,positive,"['bagels', 'bagel', 'city']"
biggest complaint untasty food although presented well,food,conflict,"['food', 'untasty', 'complaint']"
20 minutes reservation gave us time cocktails enjoy surroundings,service,conflict,"['reservation', 'minutes', 'time', 'surroundings', 'cocktails']"
apetizers food,food,neutral,['food']
food amazing service prompt helpful overbearing rushed,service,positive,"['food', 'prompt', 'service']"
sandwhiches outofthis world,food,positive,[]
check wont hurt stomach wallet,anecdotesmiscellaneous,positive,"['stomach', 'check', 'wallet']"
come back,anecdotesmiscellaneous,positive,[]
amazing place try roti rolls,food,positive,"['roti', 'rolls', 'place']"
ambiance atmosphere great food service could lot better,service,negative,"['ambiance', 'food', 'atmosphere', 'service']"
edible really ripoff prices given whats area,price,negative,"['prices', 'area']"
food excellent considering quality food moderately priced restaurants mediocre slightly pricey well worth,price,positive,"['food', 'restaurants', 'quality']"
live neighborhood friends meet bar scene also promise pizza place 3am,anecdotesmiscellaneous,positive,"['scene', 'friends', 'neighborhood', 'bar', 'place', 'pizza']"
suggestion eat family style youll want try dishes,food,neutral,"['suggestion', 'style', 'family', 'dishes']"
website rating makes place look wonderful reality disappointing,ambience,conflict,"['rating', 'website', 'place', 'reality']"
add great service great food reasonable price beginning great evening,food,positive,"['food', 'price', 'service', 'evening']"
ive several places dim sum got worst,food,negative,"['places', 'sum']"
stepped foot second time reached adjust lighting,service,negative,"['time', 'lighting', 'foot']"
best warm vibe owner super friendly service fast,ambience,positive,"['vibe', 'service', 'owner']"
decent thai food cute though bit dank little nolita hangout service terrible,food,positive,"['food', 'hangout', 'service', 'bit']"
stay away latter since wont go seconds hint hint,food,negative,"['hint', 'seconds']"
would go didnt pay,anecdotesmiscellaneous,positive,[]
never life think could satisfied taste quantity 300 nyc,food,positive,"['quantity', 'taste', 'life']"
great food great decor great service,ambience,positive,"['food', 'service', 'decor']"
nothing good sales call tactics amma obvious,service,negative,"['tactics', 'sales', 'call']"
beautiful experience,anecdotesmiscellaneous,positive,['experience']
walked wednesday night seated promptly,service,positive,['night']
many good restaurants uws dont need overpriced food absurdly arrogant waitstaff dont recognize work glorified diner clumsy service management doesnt care,food,negative,"['restaurants', 'food', 'waitstaff', 'management', 'diner', 'service', 'work']"
romantic fires ive literally spent hours lanterna drinking wine extensive wine enjoying ambience,food,positive,"['ambience', 'hours', 'wine', 'fires']"
servers give sample slices order wait shortly might add,service,positive,"['sample', 'order', 'servers', 'slices']"
going nice dinner like nice ambiance well good food,anecdotesmiscellaneous,neutral,"['ambiance', 'food', 'dinner']"
try everything matter good,food,positive,[]
definitely neighborhood favorite,anecdotesmiscellaneous,positive,['neighborhood']
favorite italian restaurant new york city,anecdotesmiscellaneous,positive,"['restaurant', 'city']"
also recommend rice dishes different varieties congee rice porridge,food,positive,"['porridge', 'dishes', 'congee', 'rice', 'varieties']"
completely fair redeeming factor food average couldnt make deficiencies teodora,anecdotesmiscellaneous,negative,"['food', 'factor', 'teodora', 'deficiencies', 'average']"
never anything like,anecdotesmiscellaneous,positive,[]
food looked appetizing delicious since came variety fancy plates,food,positive,"['food', 'variety', 'plates']"
move upper east side would genuinely miss restaurant,anecdotesmiscellaneous,positive,"['side', 'restaurant']"
signs specials menus food even waitstaff totally japanese,ambience,positive,"['food', 'specials', 'menus']"
look elsewhere,anecdotesmiscellaneous,negative,[]
yeah good,anecdotesmiscellaneous,positive,[]
wow 100 beers choose,food,positive,['beers']
one favorite places eat ny,anecdotesmiscellaneous,positive,['places']
good thought would,anecdotesmiscellaneous,conflict,['thought']
youll adore,anecdotesmiscellaneous,positive,[]
need kick sushi pretty good place consistent,food,positive,"['place', 'sushi']"
wait bar approx,service,negative,"['bar', 'approx']"
thouroughly disapointed,anecdotesmiscellaneous,negative,[]
theater 2 blocks away delicious meal beautiful room,ambience,positive,"['theater', 'room', 'blocks', 'meal']"
go back line like three times average cant walk anymore,anecdotesmiscellaneous,neutral,"['line', 'average', 'times']"
decor minimalist clean nothing distract commend,ambience,neutral,['decor']
husband go spend 6000 lobster tails ummmmm need say cant say place youll never forget never go youll miss meal life time,anecdotesmiscellaneous,positive,"['husband', 'lobster', 'meal', 'time', 'tails', 'life', 'place']"
great selection wine seafood,food,positive,"['selection', 'seafood', 'wine']"
mermaid inn overall good restaurant really good seafood,anecdotesmiscellaneous,positive,"['inn', 'seafood', 'restaurant']"
signs specials menus food even waitstaff totally japanese,food,positive,"['food', 'specials', 'menus']"
guess 555soul ads didnt launch big modeling career,anecdotesmiscellaneous,neutral,"['career', 'modeling', 'ads']"
ambience authentic relaxing always received attentive prompt service,service,positive,"['ambience', 'relaxing', 'service']"
even section menu called american chinese food,food,negative,"['menu', 'section']"
get together,anecdotesmiscellaneous,negative,[]
however happens theres even amazing place street,anecdotesmiscellaneous,positive,"['place', 'street']"
oh tiny families strollers,ambience,negative,"['families', 'strollers']"
saturday nov 6th group work come 35 people staff amazing accomodate us,service,positive,"['people', 'group', 'work', 'staff']"
staff nice seemed really stressed unisex bathroom needs cleaned often,ambience,negative,"['bathroom', 'staff']"
first time went completely taken live jazz band atmosphere ordered lobster cobb salad,ambience,positive,"['jazz', 'atmosphere', 'time', 'salad', 'band']"
ive read previews reviews people either new yorkers appreciation ambience food,anecdotesmiscellaneous,neutral,"['food', 'appreciation', 'reviews', 'ambience', 'people', 'previews']"
service devine oysters sensual come price cant beat,service,positive,"['devine', 'price', 'oysters', 'come', 'service']"
shooed inside,service,negative,[]
everything sala thai tasty wellportioned,food,positive,[]
ive 3 times lunch one favorites city,anecdotesmiscellaneous,positive,"['lunch', 'city', 'times']"
cant wait wait next visit,anecdotesmiscellaneous,positive,['visit']
searching get cold freezing weather went thought deli,anecdotesmiscellaneous,negative,"['deli', 'weather']"
good neighborhood restaurants come,anecdotesmiscellaneous,neutral,"['restaurants', 'neighborhood']"
decent wine reasonable prices,food,positive,"['wine', 'prices']"
brava la pizza fresca,anecdotesmiscellaneous,positive,['brava']
also ordered delivery restaurant forgot half order,service,negative,"['order', 'delivery', 'restaurant']"
ive eating taj mahal twenty years found excellent indian eateries block indian restaurants,anecdotesmiscellaneous,positive,"['years', 'restaurants', 'eateries']"
still try since end loving food could one best dining experiences,anecdotesmiscellaneous,positive,"['food', 'experiences', 'end', 'dining']"
love place,anecdotesmiscellaneous,positive,"['place', 'love']"
great wine selection gigondas worth price house champagne great value,food,positive,"['price', 'house', 'champagne', 'wine', 'value', 'selection']"
say wow,anecdotesmiscellaneous,positive,[]
walkins risky,anecdotesmiscellaneous,negative,[]
get pay logic mind spice great place grab cheap eats drinks beautiful setting,price,positive,"['spice', 'setting', 'pay', 'place', 'logic', 'mind', 'drinks']"
service good ambience good date group outing,service,positive,"['date', 'outing', 'group', 'ambience', 'service']"
patroon features nice cigar bar great staff,service,positive,"['cigar', 'patroon', 'staff', 'bar']"
please aware cash amex,anecdotesmiscellaneous,neutral,['cash']
venture island manhattan cant seem find great italian restaurant drive corona,anecdotesmiscellaneous,neutral,"['restaurant', 'venture', 'drive']"
told booked solid table available,service,negative,['table']
ambiance music funky enjoy,ambience,positive,"['ambiance', 'music']"
atmosphere nothing special feels like sushi establishment tokyo,ambience,neutral,"['atmosphere', 'establishment', 'sushi']"
became e ny italian food fare institutions,anecdotesmiscellaneous,neutral,"['fare', 'institutions']"
happy regular place would warmly recommend anyone,anecdotesmiscellaneous,positive,['place']
best pad thai ive ever,food,positive,['pad']
another welcome addition neighborhood,anecdotesmiscellaneous,positive,"['addition', 'welcome', 'neighborhood']"
also attached angels share cool romantic bar,ambience,positive,"['bar', 'angels']"
love seafood would love place,food,positive,"['seafood', 'place']"
lovely peaceful place eat outside,ambience,positive,['place']
went girlfriends 23rd bday,anecdotesmiscellaneous,neutral,"['23rd', 'girlfriends']"
going back heartily recommend,anecdotesmiscellaneous,positive,[]
perfect spot meeting friends lunch dinner pretheatre aftertheatre drinks,anecdotesmiscellaneous,positive,"['meeting', 'spot', 'friends', 'drinks']"
understand area folks need come romantic alluring ambiance five star service featuring sommlier complicated maze captain back waiters come authentic foods tastes experiance,ambience,positive,"['foods', 'waiters', 'maze', 'area', 'captain', 'ambiance', 'service', 'folks', 'star', 'experiance']"
definitely restaurant skip,anecdotesmiscellaneous,positive,['restaurant']
give idea good thought ended going pings three weekends row,anecdotesmiscellaneous,positive,"['thought', 'idea', 'pings', 'weekends', 'row']"
waitress suggested glasses wine went well food,service,positive,"['food', 'wine', 'waitress', 'glasses']"
sure previous reviewer lonk dined saul great neighborhood great food,ambience,positive,"['food', 'neighborhood', 'reviewer']"
also shared house salad fresh,food,positive,"['salad', 'house']"
food staff always surprise new heights taken,food,positive,"['food', 'heights', 'staff']"
took half hour get check perfect since could sit drinks talk,service,conflict,"['hour', 'check', 'get', 'drinks']"
winnie staff best crew find serving,service,positive,['crew']
obv caviar top line rest menu diverse gives chance taste manydifferent varietys,food,positive,"['menu', 'manydifferent', 'rest', 'varietys', 'chance', 'line', 'taste']"
cheap mean portions small food nasty great,food,positive,"['mean', 'food', 'portions']"
many poor experiences theater district truly excellent find,anecdotesmiscellaneous,positive,"['experiences', 'theater', 'district']"
impressed food,food,negative,['food']
frequented ino several years food remains excellent,anecdotesmiscellaneous,positive,"['years', 'food']"
time food quality decreased substantially lot less crowded used service must definitely part reason,food,negative,"['food', 'time', 'reason', 'quality', 'lot', 'service']"
great tiem watching shows characters ar food looking,ambience,positive,"['watching', 'food', 'characters']"
also back garden open summer cute french outdoor seating could ask,ambience,positive,"['seating', 'garden', 'summer']"
service friendly prompt world food great prices cheap wont put wallet commission,service,positive,"['food', 'commission', 'wallet', 'world', 'prices', 'service']"
waitstaff nice suggested swordfish husband enjoyed meal,food,positive,"['swordfish', 'meal', 'waitstaff', 'husband']"
pad thai lad nar various dishes look good paper ive better thai food less asthetically pleasing places,food,conflict,"['food', 'dishes', 'nar', 'paper', 'places']"
always busy fast moving,ambience,conflict,['moving']
im told open 24hrs good,anecdotesmiscellaneous,positive,[]
many choose wandered street looking windows noticicing many empty seats except taj mahal,anecdotesmiscellaneous,neutral,"['windows', 'street', 'seats']"
wife ate earlier week stopped ranting raving food,anecdotesmiscellaneous,positive,"['food', 'week', 'wife']"
staff nonsense,service,positive,"['nonsense', 'staff']"
little leary marys first small crowded usually wait line im glad finally tried,anecdotesmiscellaneous,positive,['line']
entrees sides drinks everything creatively prepared yet still simple,food,positive,"['entrees', 'sides']"
may bit packed weekends vibe good best french food find area,ambience,conflict,"['food', 'vibe', 'area', 'weekends']"
baluchis solid food nice decor reasonable prices,food,positive,"['food', 'prices', 'decor']"
regardless whether two people two hundred people ahead hostess take name tell five minutes,service,positive,"['take', 'minutes', 'hostess', 'name', 'people']"
nyu students love place makes fun young atmosphere,ambience,positive,"['atmosphere', 'place', 'students']"
im trying say restaurant far best thai food restaurant ive ever,food,positive,"['food', 'restaurant']"
get sense people care restaurant experience nice,service,positive,"['people', 'sense', 'experience', 'restaurant']"
great food great decor great service,service,positive,"['food', 'service', 'decor']"
parked block ninas place looked nice people obviously enjoying pizzas,food,positive,"['people', 'pizzas']"
however taiwanese restaurant town,anecdotesmiscellaneous,neutral,"['town', 'restaurant']"
happy food awsome,food,positive,"['food', 'awsome']"
sure would call food indian fusion seems french indian exotic touch,food,neutral,"['food', 'fusion', 'touch']"
food well prepared service impecable,food,positive,"['food', 'service', 'impecable']"
service good resturant clean,ambience,positive,['resturant']
service prompt slightly rushed,service,positive,"['prompt', 'service']"
food good especially basic dishes drinks delicious,food,positive,"['food', 'dishes']"
skip baroanda street eurotrashy snooty expensive check place,anecdotesmiscellaneous,conflict,"['place', 'check']"
highlight night mayonaisse side fries received one food runners good considering bill nearly 100,food,negative,"['food', 'bill', 'side', 'runners', 'mayonaisse', 'fries']"
portions huge might good order three things split rather one appetizer entree per person two people,food,positive,"['things', 'portions', 'order', 'person', 'people', 'entree', 'appetizer']"
always ask bartender seasonal beer,food,positive,"['beer', 'bartender']"
edible really ripoff prices given whats area,food,neutral,"['prices', 'area']"
pizza garlic knots great well order quite often delivery always super quick,food,positive,"['garlic', 'order', 'delivery', 'pizza']"
dont know think respect residents neighborhood ever since opened cabaret next door blasts loud music till three morning every weekend summer,ambience,negative,"['door', 'cabaret', 'morning', 'music', 'residents', 'neighborhood', 'summer', 'weekend', 'respect']"
bad latin quarters closed,anecdotesmiscellaneous,neutral,['quarters']
prices exceptionally reasonable food caliber,food,positive,"['food', 'prices', 'caliber']"
mussaman curry ordered thin water aside poorly fried tofu ordered graciously provided one piece poorly cooked potato,food,negative,"['tofu', 'water', 'potato', 'piece']"
unique apppetizers,food,positive,['apppetizers']
fish delicious incredible curry sauce,food,positive,"['sauce', 'curry']"
carnivore come hungry leave satisfied ever,anecdotesmiscellaneous,positive,[]
increase service lot,service,negative,"['lot', 'service']"
overall oh ya even though waiting deff worth,service,negative,[]
whoever jazz duo point,ambience,positive,"['jazz', 'duo']"
workers also absolutely load bagel cream cheese gets little messy,food,neutral,"['bagel', 'cheese', 'cream', 'workers']"
guess way friends described french colonies,anecdotesmiscellaneous,neutral,"['friends', 'way', 'colonies']"
1 appetizer 2 entrees 2 cokes bill 5500 including tip,food,neutral,"['cokes', 'bill', 'entrees', 'tip', 'appetizer']"
know case many nyc eateries really cram point borderline uncomfortable,ambience,negative,"['point', 'borderline', 'eateries', 'case']"
total hipsterwannabe attitude otherwise sweet spot,service,negative,"['spot', 'hipsterwannabe', 'attitude']"
dont get whats special prune,anecdotesmiscellaneous,negative,['prune']
guys awesome,anecdotesmiscellaneous,positive,['guys']
regular due consistently good food ease getting table,service,positive,"['food', 'table', 'ease']"
spent 200 place left hungry disappointed,price,negative,['place']
isnt food must service ambience,ambience,positive,"['ambience', 'food']"
lot fun live entertainment kinds disney type special effects,ambience,positive,"['effects', 'entertainment', 'kinds', 'type', 'lot']"
rao good restaurant nothing special,anecdotesmiscellaneous,neutral,['restaurant']
ordinary beef version cheap undercooked beef,food,negative,"['version', 'beef']"
4 times always great meal,food,positive,"['meal', 'times']"
go eat many different restaurants one place go try,anecdotesmiscellaneous,positive,"['restaurants', 'place']"
sitting eating subpar food manager proceeded berate couple employees putting wrong containers condiments explained expensive containers,service,negative,"['food', 'employees', 'condiments', 'couple', 'manager', 'containers']"
thanked friend recommended restaurant certainly recommend others,anecdotesmiscellaneous,positive,"['friend', 'restaurant', 'others']"
first place ate first trip new york last place stop head town next trip new york,anecdotesmiscellaneous,positive,"['trip', 'place', 'head', 'town']"
apparently good cook works,food,positive,['cook']
would definitely go back exotic martinis blackboard,food,positive,['blackboard']
since first dinner chance brunch orsay 3x,anecdotesmiscellaneous,neutral,"['3x', 'dinner']"
get soup nosh pastrami sandwich 8 youre golden,food,positive,"['soup', 'sandwich', 'nosh']"
eggplant parmesan also great friend grew manhattan claims one serves better baked ziti meatsauce,anecdotesmiscellaneous,positive,"['friend', 'eggplant', 'parmesan']"
took 25 minutes bring appetizer,service,negative,"['minutes', 'appetizer']"
good bagels good cream cheese,food,positive,"['bagels', 'cheese', 'cream']"
grew eating dosa yet find place ny satisfy taste buds,anecdotesmiscellaneous,neutral,"['buds', 'place', 'dosa', 'taste']"
try olive cream cheese lox spread whole wheat everything bagel,food,positive,"['wheat', 'cream', 'bagel', 'olive', 'cheese']"
youre going go back food good,food,positive,['food']
portion sizes huge sushi good,food,positive,"['portion', 'sushi']"
thought place totally overrated,anecdotesmiscellaneous,negative,['place']
ate week ago found dishes average best expensive,price,negative,"['week', 'dishes']"
montparnasse many times return often good reason,anecdotesmiscellaneous,positive,"['reason', 'times']"
really liked place,anecdotesmiscellaneous,positive,['place']
quality ingredients preparation around fair price nyc,price,positive,"['ingredients', 'price', 'quality', 'preparation']"
aesthetics place like airport lounge,ambience,negative,"['lounge', 'place', 'aesthetics', 'airport']"
first place romantic claimed citysearchs editorial review,ambience,negative,"['place', 'review']"
always nice crowd never loud,ambience,positive,['crowd']
finish delightful dinner experience must dessert especially white chocolate bread pudding gelato hot chocolate,food,positive,"['bread', 'chocolate', 'pudding', 'experience', 'gelato', 'dinner']"
began cheese fondue artisanal blend added apples kielbasa dip,food,neutral,"['dip', 'blend', 'apples', 'cheese', 'artisanal']"
im food critic id like think tiny bit experience belt lived ny last 11 years,anecdotesmiscellaneous,neutral,"['food', 'experience', 'bit', 'years', 'critic', 'belt']"
pad thai excellent well,food,positive,[]
service however bright flower garden,service,positive,"['flower', 'garden', 'service']"
fresh ingredients everything made order,food,positive,"['ingredients', 'order']"
rarely wait seat currys masaman green red full flavor come super spicy ask,service,positive,"['seat', 'ask', 'flavor']"
small servings main entree salmon wasnt impressed girlfriend chicken good,food,conflict,"['good', 'servings', 'salmon', 'chicken', 'girlfriend', 'entree']"
everything always cooked perfection service excellent decor cool understated,service,positive,"['perfection', 'service', 'decor']"
also good client lunch meetings esp,anecdotesmiscellaneous,positive,"['client', 'lunch', 'meetings']"
plenty choices make creation,food,positive,"['creation', 'choices']"
place lot fun,anecdotesmiscellaneous,positive,"['lot', 'place', 'fun']"
service extraordinary yet overbearing decor brings taste trendy soho queens,ambience,positive,"['queens', 'service', 'decor', 'taste']"
nice surprise,anecdotesmiscellaneous,positive,['surprise']
kenny owner always treats family like part family,service,positive,"['family', 'part']"
food ambiance imagine dreadful listen idle engine,ambience,negative,"['ambiance', 'food', 'engine']"
place would much better served run group actually understands customer service,service,negative,"['run', 'customer', 'group', 'place', 'service']"
uni maine vs california sea vs freshwater eel get good taste comparison,anecdotesmiscellaneous,neutral,"['eel', 'comparison', 'taste']"
actually gave 10 tip never done despite mediocre food service felt totally ripped,price,negative,"['tip', 'food', 'service']"
overall disappointing experience price category,price,negative,"['price', 'experience', 'category']"
delicious simple food nice outdoor atmosphere,ambience,positive,"['food', 'atmosphere']"
warm friendly winter terrific outdoor seating warmer months,ambience,positive,"['winter', 'seating', 'months']"
ive several times totally smitten,anecdotesmiscellaneous,positive,['times']
cornelia street looks like broadway set west side story inside po cool quaint really cant top setting romantic dinner nyc,ambience,positive,"['dinner', 'side', 'story']"
service excellent food delicious,service,positive,"['food', 'delicious', 'service']"
waitress awesome,service,positive,['waitress']
location good fact hutner college near prices reasonable makes students go back suan,price,positive,"['suan', 'prices', 'students', 'location', 'fact']"
first opened give restaurant second chance,anecdotesmiscellaneous,positive,"['chance', 'restaurant']"
night hard hear conversation everyone else competing luxury music playing background also voluminous,ambience,negative,"['night', 'music', 'background', 'luxury', 'conversation']"
cuisine best around service always attentive charming,food,positive,"['cuisine', 'service']"
great place take outoftowners perfect watching sunset,anecdotesmiscellaneous,positive,"['sunset', 'place', 'outoftowners']"
production symphony alot fun experiencethe food sublime part,food,positive,"['food', 'production', 'symphony', 'alot', 'fun', 'part']"
fish overdone,food,negative,['overdone']
went lunch couple weeks ago saturday thoroughly impressed food,food,positive,"['couple', 'lunch', 'weeks', 'food']"
fried dumplings great,food,positive,['dumplings']
best bagels ive,food,positive,['bagels']
black white shakes came good also,food,positive,['shakes']
filled suits though never really feel terribly comfortable,ambience,negative,['suits']
turkey burger cooked friends salmon completely raw,food,negative,"['salmon', 'friends', 'turkey', 'burger']"
great desserts including best cannoli ive ever offered dinner drink house,service,positive,"['cannoli', 'drink', 'house', 'dinner', 'desserts']"
wine list extensive easily hike otherwise reasonably priced meal,price,positive,"['wine', 'hike', 'list', 'meal']"
food delicious atmosphere relaxed adopted plate 347 secret second,ambience,positive,"['plate', 'food', 'atmosphere', 'second']"
place started little iffy one favorite indian restaurants nyc im indian know,anecdotesmiscellaneous,conflict,"['restaurants', 'place']"
pay lot decore food better worse lot chinese asian fusion places ny,ambience,negative,"['food', 'lot', 'fusion', 'decore']"
home last 2 years may skew reviewer bit food tasty spicy sans oil comes floating along similar venues,food,positive,"['food', 'oil', 'reviewer', 'venues', 'bit', 'years']"
food boring expensive,price,negative,['food']
went ruby foos birthday enjoyed experience,anecdotesmiscellaneous,positive,"['experience', 'birthday', 'ruby', 'foos']"
never strayed,anecdotesmiscellaneous,positive,[]
bagels always warm soft inside crispy outside enormous size,food,positive,"['bagels', 'crispy', 'size']"
